test_id,name,requirements,importance,status,code_commit,environment_versions,fixture_hash,data_tier,execution_time,actual_result,evidence_required,evidence_path,reviewer,blocker_or_issue
AT-016,취소,REQ-14;REQ-20,P0,NOT_RUN,,,,,,,I+E+L: 상태 전이·late write,,,
AT-017,제공자·quota,REQ-20;REQ-21,P0,NOT_RUN,,,,,,,I+E: 호출 기록·egress deny 결과,,,
AT-018,다학원 동시성,REQ-01;REQ-20;REQ-26,P0,NOT_RUN,,,,,,,I+L: 학원별 처리·대기·slot,,,
AT-019,문항 계층,REQ-07,P0,NOT_RUN,,,,,,,U+I+H: 구조 diff·집계,,,
AT-020,원문 충실도,REQ-06;REQ-07;REQ-11,P0,NOT_RUN,,,,,,,I+H: 필드별 source↔canonical diff,,,
AT-021,필기 분리,REQ-05;REQ-06;REQ-11,P0,NOT_RUN,,,,,,,I+H: 겹침별 확대 대조,,,
AT-022,학생 흔적 배제,REQ-05;REQ-08;REQ-10,P0,NOT_RUN,,,,,,,I+H: negative fixture 결과,,,
AT-023,source 추적,REQ-03;REQ-06;REQ-12,P0,NOT_RUN,,,,,,,U+I+E: 좌표 overlay·hash,,,
AT-024,검토 확정,REQ-12;REQ-14,P0,NOT_RUN,,,,,,,I+E: before/after·revision,,,
AT-025,검토 누락·빈 문서,REQ-11;REQ-12;REQ-23,P0,NOT_RUN,,,,,,,I+E: gate와 UI 비교,,,
AT-026,원본 비교 팝업,REQ-12;REQ-22,P1,NOT_RUN,,,,,,,E+H: 키보드·확대·모바일,,,
AT-027,오답 회귀,REQ-10;REQ-11;REQ-27,P0,NOT_RUN,,,,,,,U+I+H: 7문항 근거·gate,,,
AT-028,검증 독립성,REQ-10;REQ-11;REQ-21;REQ-27,P0,NOT_RUN,,,,,,,U+I: policy digest·run/slot·adjudication·state,,,
AT-029,풀이 충실도,REQ-10;REQ-19,P0,NOT_RUN,,,,,,,U+I+H: leaf coverage·해설 검수,,,
AT-030,학년 적합성,REQ-04;REQ-10,P0,NOT_RUN,,,,,,,I+H: 개념 근거·사람 검토,,,
AT-031,기준본 독립 검토,REQ-08;REQ-09;REQ-10;REQ-27,P0,NOT_RUN,,,,,,,H+I: 2인 검토·승격 manifest,,,
AT-032,문항 식별,REQ-07;REQ-13;REQ-14,P0,NOT_RUN,,,,,,,U+I+E: target ID·diff,,,
AT-033,AI 변경 팝업,REQ-13;REQ-14;REQ-22;REQ-23,P0,NOT_RUN,,,,,,,I+E: 계획·승인·diff·history,,,
AT-034,검증 무효화,REQ-11;REQ-13;REQ-14,P0,NOT_RUN,,,,,,,U+I+E: invalidation graph 비교,,,
AT-035,동시 편집,REQ-13;REQ-14;REQ-23,P0,NOT_RUN,,,,,,,I+E: 충돌 응답·버전,,,
AT-036,undo·버전,REQ-14,P0,NOT_RUN,,,,,,,I+E: hash·revision DAG,,,
AT-037,편집 오류 복구,REQ-13;REQ-22;REQ-23,P1,NOT_RUN,,,,,,,E+I: 실패별 화면·DB,,,
AT-038,도형 편집 팝업,REQ-08;REQ-13;REQ-14;REQ-22;REQ-25,P0,NOT_RUN,,,,,,,U+I+E+H: geometry diff·제약,,,
AT-039,수식 객체,REQ-09;REQ-17;REQ-18,P0,NOT_RUN,,,,,,,I+W+H: 객체 inventory·토큰·렌더,,,
AT-040,재작도,REQ-08;REQ-17;REQ-18,P0,NOT_RUN,,,,,,,I+W+H: relation coverage·렌더,,,
AT-041,문제 블록 배치,REQ-15;REQ-16,P1,NOT_RUN,,,,,,,I+W+H: 좌표 측정·페이지 이미지,,,
AT-042,overflow·논술 공간,REQ-07;REQ-15,P0,NOT_RUN,,,,,,,I+W+H: split/flow tree·답안 bbox,,,
AT-043,실제 미주,REQ-10;REQ-19,P0,NOT_RUN,,,,,,,I+W+H: enum·객체·모드별coverage,,,
AT-044,배포 유형·답 노출,REQ-17;REQ-19,P0,NOT_RUN,,,,,,,I+W+H: 모드별 expected manifest·inventory,,,
AT-045,형식별 fail-closed,REQ-11;REQ-17;REQ-18,P0,NOT_RUN,,,,,,,U+I+E: policy별 gate truth table,,,
AT-046,출력 버전 정합성,REQ-14;REQ-17;REQ-18,P0,NOT_RUN,,,,,,,I+W+E: lineage·hash 비교,,,
AT-047,실제 파일·역검증,REQ-17;REQ-18,P0,NOT_RUN,,,,,,,I+W+H: round-trip·render·semantic diff,,,
AT-048,추론↔출고 완주,REQ-11;REQ-17;REQ-21;REQ-27,P0,NOT_RUN,,,,,,,I+E+W+H: full run manifest,,,
AT-049,전체 화면 반응형,REQ-22,P1,NOT_RUN,,,,,,,E+H: 8화면 크기별 체크,,,
AT-050,팝업·접근성,REQ-22;REQ-23,P1,NOT_RUN,,,,,,,E+H: keyboard·axe등+수동,,,
AT-051,설정·템플릿,REQ-16;REQ-14,P0,NOT_RUN,,,,,,,I+E+W: snapshot/hash·template lineage,,,
AT-052,injection·콘텐츠 안전,REQ-25,P0,NOT_RUN,,,,,,,U+I+E: 공격 fixture·egress 기록,,,
AT-053,중앙 worker·비밀,REQ-18;REQ-21;REQ-25,P0,NOT_RUN,,,,,,,I+보안검토: 접근·secret scan,,,
AT-054,보관·삭제,REQ-02;REQ-24;REQ-26,P0,NOT_RUN,,,,,,,I+E: 상태/ID·refcount·권한·삭제inventory,,,
AT-055,backup·복구,REQ-24;REQ-26,P0,NOT_RUN,,,,,,,I+L: 복구 전후 비교·시간,,,
AT-056,배포·migration,REQ-07;REQ-11;REQ-14;REQ-26;REQ-28,P0,NOT_RUN,,,,,,,I: migration diff·복구 리허설,,,
AT-057,관측·회계,REQ-21;REQ-24;REQ-26,P0,NOT_RUN,,,,,,,I+E+L: call·reservation·settlement ledger,,,
AT-058,성능·모델 평가,REQ-10;REQ-11;REQ-21;REQ-27,P0,NOT_RUN,,,,,,,H+I+L: 평가표·실행manifest,,,
AT-059,CI 회귀,REQ-25;REQ-27,P0,NOT_RUN,,,,,,,U+I+E: CI log·coverage mapping,,,
AT-060,출시 인수,REQ-17;REQ-18;REQ-26;REQ-27;REQ-28,P0,NOT_RUN,,,,,,,I+E+W+H+L: 서명된 release checklist,,,
AT-061,HWP/HWPX 안전 리브랜딩·페이지 역할 매니페스트,REQ-16;REQ-17;REQ-18,P0,PASS,d180b94,python3.12/pytest,local fixtures,F0,,실제 Hancom 왕복 증명 + 역파싱 대조 PASS,E+W: REBRAND_EVIDENCE_REPORT.md,REBRAND_EVIDENCE_REPORT.md,,
