kind,id,title,requirements,work_packages,acceptance_tests,priority,implementation_status,verification_status,evidence_reference
REQUIREMENT,REQ-25,비신뢰 입력·파일/모델 출력·API 보안,REQ-25,WP01;WP03;WP05;WP10;WP11,AT-003;AT-009;AT-038;AT-052;AT-053;AT-059,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-25
REQUIREMENT,REQ-26,운영 관측·장애 대응·백업/복구·지원,REQ-26,WP01;WP10;WP11,AT-015;AT-018;AT-054;AT-055;AT-056;AT-057;AT-060,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-26
REQUIREMENT,REQ-27,독립 기준·미사용 평가 세트·오프라인 CI·회귀 방어,REQ-27,WP00;WP04;WP11,AT-027;AT-028;AT-031;AT-048;AT-058;AT-059;AT-060,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-27
REQUIREMENT,REQ-28,학원 온보딩·배포·환경 검사·출시 인계,REQ-28,WP00;WP01;WP09;WP10;WP11,AT-056;AT-060,V1_REQUIRED,NOT_STARTED,NOT_RUN,01_PRODUCT_REQUIREMENTS.md#REQ-28
ACCEPTANCE,AT-001,인증,REQ-01;REQ-23,WP01;WP03;WP06;WP09;WP11,AT-001,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-001
ACCEPTANCE,AT-002,권한,REQ-01,WP01;WP09;WP11,AT-002,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-002
ACCEPTANCE,AT-003,학원 격리,REQ-01;REQ-24;REQ-25,WP01;WP03;WP05;WP09;WP10;WP11,AT-003,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-003
ACCEPTANCE,AT-004,세션 변경,REQ-01;REQ-24,WP01;WP09;WP10;WP11,AT-004,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-004
ACCEPTANCE,AT-005,문서함·복구,REQ-02;REQ-22;REQ-23,WP01;WP03;WP06;WP09;WP11,AT-005,P1,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-005
ACCEPTANCE,AT-006,상태 안내,REQ-22;REQ-23,WP03;WP06;WP09;WP11,AT-006,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-006
ACCEPTANCE,AT-007,업로드,REQ-03;REQ-04,WP03;WP11,AT-007,P1,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-007
ACCEPTANCE,AT-008,업로드 무결성,REQ-03;REQ-04,WP03;WP11,AT-008,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-008
ACCEPTANCE,AT-009,파일 경계,REQ-03;REQ-25,WP01;WP03;WP05;WP10;WP11,AT-009,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-009
ACCEPTANCE,AT-010,입력 품질,REQ-03;REQ-05;REQ-12,WP03;WP06;WP09;WP11,AT-010,P1,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-010
ACCEPTANCE,AT-011,업로드 복구,REQ-03;REQ-20;REQ-23,WP02;WP03;WP06;WP08;WP09;WP10;WP11,AT-011,P1,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-011
ACCEPTANCE,AT-012,메타데이터·개인정보,REQ-04;REQ-24,WP01;WP03;WP10;WP11,AT-012,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-012
ACCEPTANCE,AT-013,작업 lifecycle,REQ-11;REQ-20;REQ-23,WP02;WP03;WP04;WP06;WP08;WP09;WP10;WP11,AT-013,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-013
ACCEPTANCE,AT-014,진행 복귀,REQ-20;REQ-22;REQ-23,WP02;WP03;WP06;WP08;WP09;WP10;WP11,AT-014,P1,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-014
ACCEPTANCE,AT-015,durable retry,REQ-14;REQ-20;REQ-26,WP01;WP02;WP06;WP08;WP10;WP11,AT-015,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-015
ACCEPTANCE,AT-016,취소,REQ-14;REQ-20,WP02;WP06;WP08;WP10;WP11,AT-016,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-016
ACCEPTANCE,AT-017,제공자·quota,REQ-20;REQ-21,WP00;WP02;WP04;WP08;WP10;WP11,AT-017,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-017
ACCEPTANCE,AT-018,다학원 동시성,REQ-01;REQ-20;REQ-26,WP01;WP02;WP08;WP09;WP10;WP11,AT-018,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-018
ACCEPTANCE,AT-019,문항 계층,REQ-07,WP02;WP04;WP11,AT-019,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-019
ACCEPTANCE,AT-020,원문 충실도,REQ-06;REQ-07;REQ-11,WP00;WP02;WP04;WP05;WP11,AT-020,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-020
ACCEPTANCE,AT-021,필기 분리,REQ-05;REQ-06;REQ-11,WP00;WP02;WP03;WP04;WP05;WP11,AT-021,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-021
ACCEPTANCE,AT-022,학생 흔적 배제,REQ-05;REQ-08;REQ-10,WP00;WP03;WP04;WP05;WP11,AT-022,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-022
ACCEPTANCE,AT-023,source 추적,REQ-03;REQ-06;REQ-12,WP00;WP02;WP03;WP04;WP05;WP06;WP09;WP11,AT-023,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-023
ACCEPTANCE,AT-024,검토 확정,REQ-12;REQ-14,WP02;WP06;WP09;WP11,AT-024,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-024
ACCEPTANCE,AT-025,검토 누락·빈 문서,REQ-11;REQ-12;REQ-23,WP02;WP03;WP04;WP06;WP09;WP11,AT-025,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-025
ACCEPTANCE,AT-026,원본 비교 팝업,REQ-12;REQ-22,WP06;WP09;WP11,AT-026,P1,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-026
ACCEPTANCE,AT-027,오답 회귀,REQ-10;REQ-11;REQ-27,WP00;WP02;WP04;WP05;WP11,AT-027,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-027
ACCEPTANCE,AT-028,검증 독립성,REQ-10;REQ-11;REQ-21;REQ-27,WP00;WP02;WP04;WP05;WP10;WP11,AT-028,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-028
ACCEPTANCE,AT-029,풀이 충실도,REQ-10;REQ-19,WP00;WP04;WP05;WP07;WP08;WP09;WP11,AT-029,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-029
ACCEPTANCE,AT-030,학년 적합성,REQ-04;REQ-10,WP00;WP03;WP04;WP05;WP11,AT-030,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-030
ACCEPTANCE,AT-031,기준본 독립 검토,REQ-08;REQ-09;REQ-10;REQ-27,WP00;WP04;WP05;WP07;WP11,AT-031,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-031
ACCEPTANCE,AT-032,문항 식별,REQ-07;REQ-13;REQ-14,WP02;WP04;WP06;WP09;WP11,AT-032,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-032
ACCEPTANCE,AT-033,AI 변경 팝업,REQ-13;REQ-14;REQ-22;REQ-23,WP02;WP03;WP06;WP09;WP11,AT-033,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-033
ACCEPTANCE,AT-034,검증 무효화,REQ-11;REQ-13;REQ-14,WP02;WP04;WP06;WP09;WP11,AT-034,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-034
ACCEPTANCE,AT-035,동시 편집,REQ-13;REQ-14;REQ-23,WP02;WP03;WP06;WP09;WP11,AT-035,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-035
ACCEPTANCE,AT-036,undo·버전,REQ-14,WP02;WP06;WP11,AT-036,P0,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-036
ACCEPTANCE,AT-037,편집 오류 복구,REQ-13;REQ-22;REQ-23,WP03;WP06;WP09;WP11,AT-037,P1,TEST_SPEC_ONLY,NOT_RUN,04_ACCEPTANCE_TEST_PLAN.md#AT-037
